imp_age,imp_educat,imp_female,imp_race,sevhard,sevhealthd,spmpov,spmres
41,4,1,2. Black Non-Hispanic,1,0,0,61273.238
37,4,1,1. White Non-Hispanic,0,0,0,59878
49,4,0,1. White Non-Hispanic,0,0,0,94083.797
38,3,1,5. Hispanic,0,0,0,49074.883
43,4,1,1. White Non-Hispanic,0,0,0,128448.25
66,4,1,2. Black Non-Hispanic,0,1,0,150896.08
70,2,0,1. White Non-Hispanic,0,0,0,53299.551
38,4,1,1. White Non-Hispanic,0,0,0,145532.19
42,1,0,5. Hispanic,0,0,1,14895.368
37,4,0,5. Hispanic,1,0,0,28172.25
76,1,1,2. Black Non-Hispanic,0,0,0,30383.467
52,4,0,1. White Non-Hispanic,0,0,0,30493.189
80,4,0,1. White Non-Hispanic,0,1,1,24000
60,4,0,3. Asian Non-Hispanic,0,0,0,74677.016
45,2,0,5. Hispanic,1,0,1,33068.711
46,1,0,5. Hispanic,0,0,0,56245
46,4,1,4. Other / MultiRacial,0,0,0,44253.25
47,4,0,5. Hispanic,1,0,1,19078.33
63,1,1,5. Hispanic,0,1,0,19195.523
27,4,0,2. Black Non-Hispanic,0,0,0,54816.801
67,2,0,1. White Non-Hispanic,0,0,0,119522.5
30,4,0,3. Asian Non-Hispanic,0,0,0,41100.09
79,2,1,5. Hispanic,0,0,1,11902.023
53,4,1,1. White Non-Hispanic,0,1,0,101836.33
39,4,1,1. White Non-Hispanic,1,0,0,36602.398
56,3,0,1. White Non-Hispanic,1,0,0,108592.34
80,4,0,1. White Non-Hispanic,0,0,0,54095.98
45,4,1,2. Black Non-Hispanic,1,0,1,14291.298
32,4,1,1. White Non-Hispanic,0,0,0,117688.3
28,3,1,2. Black Non-Hispanic,1,0,0,60011.004
66,4,0,1. White Non-Hispanic,0,0,0,57434.844
46,4,1,1. White Non-Hispanic,0,0,0,100229.46
20,3,0,2. Black Non-Hispanic,0,0,0,49336.73
65,4,1,1. White Non-Hispanic,0,0,0,134590.75
67,3,0,2. Black Non-Hispanic,1,1,0,50408.449
42,4,0,5. Hispanic,0,1,0,16842.77
69.46071236,2,0,5. Hispanic,1,0,0,102234
84,4,0,1. White Non-Hispanic,0,0,1,50
58,4,0,1. White Non-Hispanic,0,0,0,77500.711
