imp_billindsev,imp_educat,imp_female,imp_financindsev,imp_foodindsev,imp_houseindsev,imp_race,q4r_age,r_age,sevhard,sevhealthd,spmpov,spmres,q4foodindsev,q4houseindsev,q4billindsev,q4financindsev,q4sevhard,q4spmres,q4spmpov,qweight_p,qweight_pu,q8r_age,q8sevhealthd,q8foodindsev,q8houseindsev,q8billindsev,q8financindsev,q8sevhard,q8spmres,q8spmpov
0,3,0,0,0,0,1. White Non-Hispanic,,33,0,0,0,112074.29,,,,,,,,12981,6490,,,,,,,,,
0,2,1,0,0,0,1. White Non-Hispanic,52,50,0,0,0,202924.81,0,0,0,1,1,76071,0,23823,3970,53,0,0,0,0,0,0,89371.328,0
0,4,0,0,0,0,1. White Non-Hispanic,,60,0,1,0,207400,,,,,,,,10020,3340,,,,,,,,,
0,4,1,0,0,0,3. Asian Non-Hispanic,70,69,0,0,0,207400,0,0,0,0,0,37200,0,9205,4602,71,0,0,0,0,0,0,53000,0
0,2,0,0,0,0,2. Black Non-Hispanic,73,72,0,0,0,144099.98,0,0,0,0,0,23144.23,0,4835,4835,74,0,0,0,0,0,0,75313.055,0
0,2,1,1,1,0,1. White Non-Hispanic,,48,1,1,1,44550.027,,,,,,,,7734,1934,,,,,,,,,
0,4,0,0,0,0,1. White Non-Hispanic,59,57,0,0,0,149038.98,0,0,0,0,0,68559.516,0,13357,6678,60,0,0,0,0,0,0,124504.3,0
0,2,1,0,0,0,1. White Non-Hispanic,,77,0,0,0,47453.07,,,,,,,,16855,5618,,,,,,,,,
0,3,1,0,0,0,2. Black Non-Hispanic,74,70,0,0,0,43112.48,0,0,0,0,0,50000,0,4532,4532,75,0,0,0,0,0,0,23683.207,0
0,2,1,0,0,0,2. Black Non-Hispanic,84,82,0,1,1,16499.799,0,0,0,0,0,87826.281,0,12171,6086,84,1,0,0,0,0,0,12622.683,0
0,3,0,0,0,0,1. White Non-Hispanic,65,64,0,0,0,52457.5,0,0,0,0,0,39109,0,21498,10749,67,0,0,0,0,0,0,123606.09,0
0,3,0,0,0,0,1. White Non-Hispanic,66,61,0,0,0,207400,0,0,0,0,0,145528.36,0,4017,803,65,0,0,0,0,0,0,183168.14,0
0,4,1,0,0,0,3. Asian Non-Hispanic,40,39,0,0,0,153816.75,0,0,0,0,0,41397.586,0,5397,5397,41,0,0,0,0,0,0,114094.94,0
0,4,0,0,0,0,1. White Non-Hispanic,,63,0,1,0,207400,,,,,,,,22009,7336,,,,,,,,,
0,2,1,0,0,0,1. White Non-Hispanic,28,28,1,0,1,13642.096,0,0,0,0,1,24451.4,1,3004,1502,29,0,0,0,0,0,,74375.727,0
0,4,1,1,0,0,1. White Non-Hispanic,,,1,0,0,75980.789,,,,,,,,10867,10867,,,,,,,,,
0,4,1,0,0,0,1. White Non-Hispanic,45,34,0,0,0,156819.64,0,0,0,0,0,209057.91,0,5224,2612,46,0,0,0,0,0,0,94758.008,0
